Scan Date:,2025-05-26 15:04:40Z
Integration Time:,1000
Number of Averages:,100

Pixel Number,Wavelength (nm),Sum Spectrum,Averaged Spectrum
0,464.9839,105092,1050.92
1,465.068515076491,104662,1046.62
2,465.153129906126,104828,1048.28
3,465.237744489151,104707,1047.07
4,465.322358825812,104467,1044.67
5,465.406972916352,104606,1046.06
6,465.491586761018,104979,1049.79
7,465.576200360054,105093,1050.93
8,465.660813713705,105024,1050.24
9,465.745426822218,104990,1049.9
10,465.830039685836,105085,1050.85
11,465.914652304805,105095,1050.95
12,465.99926467937,104802,1048.02
13,466.083876809776,104824,1048.24
14,466.168488696269,105065,1050.65
15,466.253100339093,204035,2040.35
16,466.337711738494,231936,2319.36
17,466.422322894716,179398,1793.98
18,466.506933808006,148349,1483.49
19,466.591544478607,130453,1304.53
20,466.676154906766,120289,1202.89
21,466.760765092726,114787,1147.87
22,466.845375036735,113892,1138.92
23,466.929984739036,113069,1130.69
24,467.014594199874,111020,1110.2
25,467.099203419495,109498,1094.98
26,467.183812398145,108341,1083.41
27,467.268421136067,107758,1077.58
28,467.353029633508,129264,1292.64
29,467.437637890711,136957,1369.57
30,467.522245907924,128536,1285.36
31,467.60685368539,121341,1213.41
32,467.691461223355,115186,1151.86
33,467.776068522063,111998,1119.98
34,467.860675581761,110119,1101.19
35,467.945282402693,112134,1121.34
36,468.029888985104,116862,1168.62
37,468.11449532924,116153,1161.53
38,468.199101435345,114877,1148.77
39,468.283707303665,113087,1130.87
40,468.368312934445,110441,1104.41
41,468.45291832793,111322,1113.22
42,468.537523484364,113451,1134.51
43,468.622128403994,130905,1309.05
44,468.706733087065,139111,1391.11
45,468.791337533821,129408,1294.08
46,468.875941744507,120185,1201.85
47,468.96054571937,115060,1150.6
48,469.045149458653,112214,1122.14
49,469.129752962602,110345,1103.45
50,469.214356231462,108924,1089.24
51,469.298959265479,108361,1083.61
52,469.383562064897,108466,1084.66
53,469.468164629962,108378,1083.78
54,469.552766960919,110307,1103.07
55,469.637369058012,113602,1136.02
56,469.721970921487,112856,1128.56
57,469.80657255159,110799,1107.99
58,469.891173948565,111623,1116.23
59,469.975775112657,111259,1112.59
60,470.060376044111,109233,1092.33
61,470.144976743173,108441,1084.41
62,470.229577210088,110376,1103.76
63,470.314177445101,110933,1109.33
64,470.398777448457,112121,1121.21
65,470.483377220402,129528,1295.28
66,470.567976761179,134876,1348.76
67,470.652576071035,126253,1262.53
68,470.737175150215,118973,1189.73
69,470.821773998963,114138,1141.38
70,470.906372617525,113594,1135.94
71,470.990971006146,112268,1122.68
72,471.075569165072,135294,1352.94
73,471.160167094546,141566,1415.66
74,471.244764794815,130171,1301.71
75,471.329362266123,122371,1223.71
76,471.413959508717,118732,1187.32
77,471.498556522839,120551,1205.51
78,471.583153308737,120952,1209.52
79,471.667749866655,118310,1183.1
80,471.752346196838,117213,1172.13
81,471.836942299532,117390,1173.9
82,471.921538174981,120570,1205.7
83,472.00613382343,119283,1192.83
84,472.090729245126,114728,1147.28
85,472.175324440312,111657,1116.57
86,472.259919409234,112048,1120.48
87,472.344514152137,111585,1115.85
88,472.429108669267,109708,1097.08
89,472.513702960868,109572,1095.72
90,472.598297027185,110820,1108.2
91,472.682890868465,110525,1105.25
92,472.767484484951,109149,1091.49
93,472.852077876889,108207,1082.07
94,472.936671044524,110398,1103.98
95,473.021263988101,111028,1110.28
96,473.105856707865,110137,1101.37
97,473.190449204062,113818,1138.18
98,473.275041476937,125211,1252.11
99,473.359633526735,129903,1299.03
100,473.4442253537,123376,1233.76
101,473.528816958078,118729,1187.29
102,473.613408340115,117656,1176.56
103,473.697999500055,114938,1149.38
104,473.782590438143,111923,1119.23
105,473.867181154625,110296,1102.96
106,473.951771649745,112483,1124.83
107,474.03636192375,112384,1123.84
108,474.120951976883,110312,1103.12
109,474.20554180939,109273,1092.73
110,474.290131421517,108616,1086.16
111,474.374720813508,111056,1110.56
112,474.459309985608,111678,1116.78
113,474.543898938063,110017,1100.17
114,474.628487671118,108782,1087.82
115,474.713076185018,107996,1079.96
116,474.797664480008,110520,1105.2
117,474.882252556332,134140,1341.4
118,474.966840414238,141154,1411.54
119,475.051428053968,154809,1548.09
120,475.13601547577,153332,1533.32
121,475.220602679887,134145,1341.45
122,475.305189666564,122500,1225
123,475.389776436048,115814,1158.14
124,475.474362988583,112057,1120.57
125,475.558949324414,109677,1096.77
126,475.643535443787,108817,1088.17
127,475.728121346946,108425,1084.25
128,475.812707034136,108032,1080.32
129,475.897292505604,125650,1256.5
130,475.981877761593,134088,1340.88
131,476.066462802349,128032,1280.32
132,476.151047628118,123425,1234.25
133,476.235632239144,118213,1182.13
134,476.320216635672,113343,1133.43
135,476.404800817948,113354,1133.54
136,476.489384786216,113080,1130.8
137,476.573968540723,114349,1143.49
138,476.658552081712,128952,1289.52
139,476.74313540943,130731,1307.31
140,476.827718524121,121456,1214.56
141,476.91230142603,115568,1155.68
142,476.996884115403,114435,1144.35
143,477.081466592484,113093,1130.93
144,477.166048857519,110455,1104.55
145,477.250630910753,111766,1117.66
146,477.335212752432,111777,1117.77
147,477.419794382799,109941,1099.41
148,477.504375802101,111297,1112.97
149,477.588957010582,111769,1117.69
150,477.673538008487,110110,1101.1
151,477.758118796063,141561,1415.61
152,477.842699373553,150091,1500.91
153,477.927279741204,132114,1321.14
154,478.011859899259,121486,1214.86
155,478.096439847965,115254,1152.54
156,478.181019587566,112241,1122.41
157,478.265599118308,110784,1107.84
158,478.350178440435,109329,1093.29
159,478.434757554193,108867,1088.67
160,478.519336459827,117998,1179.98
161,478.603915157582,120226,1202.26
162,478.688493647704,114587,1145.87
163,478.773071930436,157367,1573.67
164,478.857650006026,168679,1686.79
165,478.942227874716,143667,1436.67
166,479.026805536754,137363,1373.63
167,479.111382992383,132430,1324.3
168,479.19596024185,125328,1253.28
169,479.280537285398,119211,1192.11
170,479.365114123274,114069,1140.69
171,479.449690755722,110944,1109.44
172,479.534267182988,109243,1092.43
173,479.618843405317,108450,1084.5
174,479.703419422953,110515,1105.15
175,479.787995236142,113808,1138.08
176,479.87257084513,113140,1131.4
177,479.95714625016,110768,1107.68
178,480.041721451479,109664,1096.64
179,480.126296449331,109122,1091.22
180,480.210871243962,110540,1105.4
