Scan Date:,2025-05-26 15:56:24Z
Integration Time:,1000
Number of Averages:,100

Pixel Number,Wavelength (nm),Sum Spectrum,Averaged Spectrum
0,464.9839,58252,582.52
1,465.068515076491,57886,578.86
2,465.153129906126,58100,581
3,465.237744489151,57942,579.42
4,465.322358825812,57749,577.49
5,465.406972916352,57606,576.06
6,465.491586761018,57733,577.33
7,465.576200360054,57885,578.85
8,465.660813713705,57654,576.54
9,465.745426822218,57772,577.72
10,465.830039685836,57787,577.87
11,465.914652304805,57791,577.91
12,465.99926467937,58026,580.26
13,466.083876809776,57953,579.53
14,466.168488696269,57848,578.48
15,466.253100339093,193592,1935.92
16,466.337711738494,232218,2322.18
17,466.422322894716,160112,1601.12
18,466.506933808006,117570,1175.7
19,466.591544478607,93326,933.26
20,466.676154906766,79239,792.39
21,466.760765092726,71213,712.13
22,466.845375036735,70345,703.45
23,466.929984739036,69672,696.72
24,467.014594199874,66941,669.41
25,467.099203419495,64996,649.96
26,467.183812398145,63211,632.11
27,467.268421136067,62219,622.19
28,467.353029633508,91144,911.44
29,467.437637890711,101107,1011.07
30,467.522245907924,89514,895.14
31,467.60685368539,79960,799.6
32,467.691461223355,71913,719.13
33,467.776068522063,67788,677.88
34,467.860675581761,65435,654.35
35,467.945282402693,68490,684.9
36,468.029888985104,74791,747.91
37,468.11449532924,73838,738.38
38,468.199101435345,72202,722.02
39,468.283707303665,69967,699.67
40,468.368312934445,66300,663
41,468.45291832793,67466,674.66
42,468.537523484364,70672,706.72
43,468.622128403994,93883,938.83
44,468.706733087065,104266,1042.66
45,468.791337533821,91286,912.86
46,468.875941744507,78527,785.27
47,468.96054571937,71887,718.87
48,469.045149458653,68062,680.62
49,469.129752962602,65464,654.64
50,469.214356231462,63759,637.59
51,469.298959265479,62922,629.22
52,469.383562064897,62848,628.48
53,469.468164629962,62746,627.46
54,469.552766960919,65374,653.74
55,469.637369058012,69525,695.25
56,469.721970921487,68705,687.05
57,469.80657255159,66130,661.3
58,469.891173948565,67542,675.42
59,469.975775112657,66987,669.87
60,470.060376044111,64358,643.58
61,470.144976743173,63149,631.49
62,470.229577210088,65850,658.5
63,470.314177445101,66471,664.71
64,470.398777448457,68147,681.47
65,470.483377220402,91134,911.34
66,470.567976761179,98423,984.23
67,470.652576071035,87078,870.78
68,470.737175150215,77221,772.21
69,470.821773998963,70657,706.57
70,470.906372617525,70376,703.76
71,470.990971006146,69045,690.45
72,471.075569165072,99367,993.67
73,471.160167094546,107343,1073.43
74,471.244764794815,92408,924.08
75,471.329362266123,82207,822.07
76,471.413959508717,77260,772.6
77,471.498556522839,79729,797.29
78,471.583153308737,80228,802.28
79,471.667749866655,77004,770.04
80,471.752346196838,75853,758.53
81,471.836942299532,75777,757.77
82,471.921538174981,79435,794.35
83,472.00613382343,77150,771.5
84,472.090729245126,70845,708.45
85,472.175324440312,66697,666.97
86,472.259919409234,67778,677.78
87,472.344514152137,67268,672.68
88,472.429108669267,64516,645.16
89,472.513702960868,64095,640.95
90,472.598297027185,65992,659.92
91,472.682890868465,66126,661.26
92,472.767484484951,64549,645.49
93,472.852077876889,63252,632.52
94,472.936671044524,65801,658.01
95,473.021263988101,66192,661.92
96,473.105856707865,64487,644.87
97,473.190449204062,69378,693.78
98,473.275041476937,85133,851.33
99,473.359633526735,91825,918.25
100,473.4442253537,83162,831.62
101,473.528816958078,77110,771.1
102,473.613408340115,75939,759.39
103,473.697999500055,72167,721.67
104,473.782590438143,67643,676.43
105,473.867181154625,65393,653.93
106,473.951771649745,68090,680.9
107,474.03636192375,68130,681.3
108,474.120951976883,65760,657.6
109,474.20554180939,64622,646.22
110,474.290131421517,63419,634.19
111,474.374720813508,66185,661.85
112,474.459309985608,66753,667.53
113,474.543898938063,64718,647.18
114,474.628487671118,63462,634.62
115,474.713076185018,62840,628.4
116,474.797664480008,66203,662.03
117,474.882252556332,97027,970.27
118,474.966840414238,106260,1062.6
119,475.051428053968,124275,1242.75
120,475.13601547577,122176,1221.76
121,475.220602679887,96752,967.52
122,475.305189666564,81682,816.82
123,475.389776436048,73439,734.39
124,475.474362988583,68503,685.03
125,475.558949324414,65274,652.74
126,475.643535443787,63663,636.63
127,475.728121346946,62975,629.75
128,475.812707034136,62493,624.93
129,475.897292505604,85968,859.68
130,475.981877761593,96769,967.69
131,476.066462802349,88273,882.73
132,476.151047628118,82151,821.51
133,476.235632239144,75420,754.2
134,476.320216635672,69136,691.36
135,476.404800817948,69208,692.08
136,476.489384786216,68868,688.68
137,476.573968540723,70740,707.4
138,476.658552081712,90499,904.99
139,476.74313540943,93105,931.05
140,476.827718524121,80850,808.5
141,476.91230142603,72922,729.22
142,476.996884115403,71221,712.21
143,477.081466592484,69374,693.74
144,477.166048857519,65790,657.9
145,477.250630910753,67602,676.02
146,477.335212752432,67819,678.19
147,477.419794382799,65468,654.68
148,477.504375802101,67180,671.8
149,477.588957010582,67829,678.29
150,477.673538008487,65784,657.84
151,477.758118796063,108143,1081.43
152,477.842699373553,119437,1194.37
153,477.927279741204,95356,953.56
154,478.011859899259,80567,805.67
155,478.096439847965,71862,718.62
156,478.181019587566,68060,680.6
157,478.265599118308,66238,662.38
158,478.350178440435,64490,644.9
159,478.434757554193,63584,635.84
160,478.519336459827,75717,757.17
161,478.603915157582,78403,784.03
162,478.688493647704,70934,709.34
163,478.773071930436,128845,1288.45
164,478.857650006026,143935,1439.35
165,478.942227874716,110293,1102.93
