Scan Date:,2025-05-24 15:57:41Z
Integration Time:,1000
Number of Averages:,100

Pixel Number,Wavelength (nm),Sum Spectrum,Averaged Spectrum
0,464.9839,35391,353.91
1,465.068515076491,34807,348.07
2,465.153129906126,35011,350.11
3,465.237744489151,35094,350.94
4,465.322358825812,35050,350.5
5,465.406972916352,34725,347.25
6,465.491586761018,34472,344.72
7,465.576200360054,34659,346.59
8,465.660813713705,34788,347.88
9,465.745426822218,35034,350.34
10,465.830039685836,35230,352.3
11,465.914652304805,35206,352.06
12,465.99926467937,35122,351.22
13,466.083876809776,35316,353.16
14,466.168488696269,35370,353.7
15,466.253100339093,195605,1956.05
16,466.337711738494,241240,2412.4
17,466.422322894716,156577,1565.77
18,466.506933808006,106275,1062.75
19,466.591544478607,77337,773.37
20,466.676154906766,60635,606.35
21,466.760765092726,51259,512.59
22,466.845375036735,49788,497.88
23,466.929984739036,48284,482.84
24,467.014594199874,45358,453.58
25,467.099203419495,43162,431.62
26,467.183812398145,41235,412.35
27,467.268421136067,40546,405.46
28,467.353029633508,73753,737.53
29,467.437637890711,85032,850.32
30,467.522245907924,71521,715.21
31,467.60685368539,60550,605.5
32,467.691461223355,51377,513.77
33,467.776068522063,46576,465.76
34,467.860675581761,43559,435.59
35,467.945282402693,47339,473.39
36,468.029888985104,54839,548.39
37,468.11449532924,53334,533.34
38,468.199101435345,50992,509.92
39,468.283707303665,47956,479.56
40,468.368312934445,43892,438.92
41,468.45291832793,45429,454.29
42,468.537523484364,48856,488.56
43,468.622128403994,75078,750.78
44,468.706733087065,87004,870.04
45,468.791337533821,72391,723.91
46,468.875941744507,58014,580.14
47,468.96054571937,50516,505.16
48,469.045149458653,46441,464.41
49,469.129752962602,43598,435.98
50,469.214356231462,41350,413.5
51,469.298959265479,40460,404.6
52,469.383562064897,40388,403.88
53,469.468164629962,40297,402.97
54,469.552766960919,43348,433.48
55,469.637369058012,48319,483.19
56,469.721970921487,47214,472.14
57,469.80657255159,44154,441.54
58,469.891173948565,45809,458.09
59,469.975775112657,45087,450.87
60,470.060376044111,42232,422.32
61,470.144976743173,40749,407.49
62,470.229577210088,43639,436.39
63,470.314177445101,44302,443.02
64,470.398777448457,46174,461.74
65,470.483377220402,72467,724.67
