Scan Date:,2025-05-24 16:33:42Z
Integration Time:,1000
Number of Averages:,100

Pixel Number,Wavelength (nm),Sum Spectrum,Averaged Spectrum
0,464.9839,22028,220.28
1,465.068515076491,21715,217.15
2,465.153129906126,21763,217.63
3,465.237744489151,21902,219.02
4,465.322358825812,21906,219.06
5,465.406972916352,21859,218.59
6,465.491586761018,21697,216.97
7,465.576200360054,21475,214.75
8,465.660813713705,21287,212.87
9,465.745426822218,21404,214.04
10,465.830039685836,21624,216.24
11,465.914652304805,21626,216.26
12,465.99926467937,21615,216.15
13,466.083876809776,21684,216.84
14,466.168488696269,21854,218.54
15,466.253100339093,198349,1983.49
16,466.337711738494,248458,2484.58
17,466.422322894716,155205,1552.05
18,466.506933808006,99611,996.11
19,466.591544478607,67616,676.16
20,466.676154906766,49378,493.78
21,466.760765092726,38929,389.29
22,466.845375036735,37311,373.11
23,466.929984739036,35862,358.62
24,467.014594199874,32262,322.62
25,467.099203419495,29630,296.3
26,467.183812398145,27633,276.33
27,467.268421136067,26763,267.63
28,467.353029633508,62938,629.38
29,467.437637890711,75605,756.05
30,467.522245907924,61270,612.7
31,467.60685368539,49449,494.49
32,467.691461223355,39149,391.49
33,467.776068522063,33772,337.72
34,467.860675581761,30452,304.52
35,467.945282402693,34618,346.18
36,468.029888985104,42730,427.3
37,468.11449532924,40990,409.9
38,468.199101435345,38646,386.46
39,468.283707303665,35850,358.5
40,468.368312934445,31258,312.58
41,468.45291832793,32744,327.44
42,468.537523484364,36552,365.52
43,468.622128403994,64893,648.93
44,468.706733087065,77849,778.49
45,468.791337533821,62143,621.43
46,468.875941744507,46684,466.84
47,468.96054571937,38326,383.26
48,469.045149458653,33721,337.21
49,469.129752962602,30678,306.78
50,469.214356231462,28450,284.5
51,469.298959265479,27334,273.34
52,469.383562064897,26855,268.55
53,469.468164629962,26603,266.03
54,469.552766960919,30137,301.37
55,469.637369058012,35607,356.07
56,469.721970921487,34824,348.24
57,469.80657255159,32056,320.56
58,469.891173948565,33945,339.45
59,469.975775112657,32922,329.22
60,470.060376044111,29044,290.44
61,470.144976743173,27434,274.34
62,470.229577210088,31113,311.13
63,470.314177445101,32098,320.98
64,470.398777448457,34067,340.67
65,470.483377220402,62731,627.31
66,470.567976761179,71766,717.66
67,470.652576071035,58136,581.36
68,470.737175150215,45850,458.5
69,470.821773998963,37378,373.78
70,470.906372617525,36875,368.75
71,470.990971006146,35028,350.28
72,471.075569165072,72628,726.28
73,471.160167094546,82351,823.51
74,471.244764794815,63872,638.72
75,471.329362266123,51169,511.69
76,471.413959508717,44623,446.23
77,471.498556522839,47647,476.47
78,471.583153308737,48519,485.19
79,471.667749866655,44427,444.27
80,471.752346196838,43033,430.33
81,471.836942299532,42895,428.95
82,471.921538174981,47844,478.44
83,472.00613382343,45302,453.02
84,472.090729245126,37421,374.21
85,472.175324440312,32472,324.72
86,472.259919409234,33679,336.79
87,472.344514152137,33025,330.25
88,472.429108669267,29784,297.84
89,472.513702960868,29504,295.04
90,472.598297027185,31571,315.71
91,472.682890868465,30921,309.21
92,472.767484484951,28366,283.66
93,472.852077876889,26539,265.39
94,472.936671044524,30174,301.74
95,473.021263988101,31357,313.57
96,473.105856707865,29716,297.16
97,473.190449204062,36272,362.72
98,473.275041476937,55945,559.45
99,473.359633526735,64321,643.21
100,473.4442253537,53285,532.85
101,473.528816958078,45438,454.38
102,473.613408340115,44001,440.01
103,473.697999500055,39445,394.45
104,473.782590438143,33974,339.74
105,473.867181154625,31203,312.03
106,473.951771649745,34438,344.38
107,474.03636192375,34508,345.08
108,474.120951976883,31679,316.79
109,474.20554180939,30043,300.43
110,474.290131421517,28616,286.16
111,474.374720813508,32193,321.93
112,474.459309985608,32419,324.19
113,474.543898938063,29518,295.18
114,474.628487671118,28042,280.42
115,474.713076185018,27265,272.65
116,474.797664480008,31429,314.29
117,474.882252556332,69551,695.51
118,474.966840414238,80746,807.46
119,475.051428053968,102808,1028.08
120,475.13601547577,100049,1000.49
121,475.220602679887,68818,688.18
122,475.305189666564,49972,499.72
123,475.389776436048,39444,394.44
124,475.474362988583,33508,335.08
125,475.558949324414,29549,295.49
126,475.643535443787,27654,276.54
127,475.728121346946,26856,268.56
128,475.812707034136,26034,260.34
129,475.897292505604,55268,552.68
130,475.981877761593,68985,689.85
131,476.066462802349,58540,585.4
132,476.151047628118,50779,507.79
133,476.235632239144,42293,422.93
134,476.320216635672,34938,349.38
135,476.404800817948,35300,353
136,476.489384786216,34552,345.52
137,476.573968540723,36669,366.69
138,476.658552081712,61610,616.1
139,476.74313540943,64718,647.18
140,476.827718524121,49042,490.42
141,476.91230142603,39165,391.65
142,476.996884115403,37377,373.77
143,477.081466592484,35347,353.47
144,477.166048857519,31025,310.25
145,477.250630910753,33128,331.28
146,477.335212752432,33154,331.54
147,477.419794382799,30365,303.65
148,477.504375802101,32839,328.39
149,477.588957010582,33517,335.17
150,477.673538008487,30670,306.7
151,477.758118796063,83980,839.8
152,477.842699373553,98304,983.04
153,477.927279741204,68059,680.59
154,478.011859899259,49417,494.17
155,478.096439847965,38454,384.54
156,478.181019587566,33476,334.76
157,478.265599118308,31011,310.11
158,478.350178440435,29001,290.01
159,478.434757554193,27938,279.38
160,478.519336459827,42809,428.09
